GID,DDP,DDP_year,DHS,DHS_year,MAT,DIAMETRE,STATUT_OBJET,LNG,age
410526720,2012-01-01T00:00:00.000Z,2012,,,FT,100,EN SERVICE,0.984,5093
410526721,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,68.795,22259
410526722,2001-01-01T00:00:00.000Z,2001,,,FT,200,EN SERVICE,10.151,9110
410526723,2001-01-01T00:00:00.000Z,2001,,,FT,200,EN SERVICE,46.18,9110
410526724,2000-01-01T00:00:00.000Z,2000,,,FT,150,EN SERVICE,80.915,9476
410526725,2010-01-01T00:00:00.000Z,2010,,,FT,250,EN SERVICE,2.711,5823
410526727,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,3.379,6919
410526728,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,1.41,6919
410526729,2011-01-01T00:00:00.000Z,2011,,,FT,150,EN SERVICE,20.084,5458
410526730,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,4.365,22259
410526731,2008-01-01T00:00:00.000Z,2008,,,FT,100,EN SERVICE,140.583,6554
410526733,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,2.943,22259
410526734,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,2.402,6919
410526735,1991-01-01T00:00:00.000Z,1991,,,FT,200,EN SERVICE,65.137,12763
410526736,1965-01-01T00:00:00.000Z,1965,,,FTG,250,EN SERVICE,2.538,22259
410526737,1965-01-01T00:00:00.000Z,1965,,,FTG,250,EN SERVICE,2.284,22259
410527019,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,3.963,22259
410527021,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,9.882,22259
410527022,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,36.651,22259
410527023,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,79.843,22259
410527024,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,22.15,22259
410527025,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,4.54,22259
410527026,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,3.46,22259
410527027,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,4.2,22259
410527028,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,71.851,22259
410527029,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,4.169,22259
410527030,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,18.975,22259
410527031,2003-01-01T00:00:00.000Z,2003,,,PEHD,63,EN SERVICE,57.063,8380
410527032,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,41.944,22259
410527033,2006-01-01T00:00:00.000Z,2006,,,FT,200,EN SERVICE,78.074,7284
410527035,2006-01-01T00:00:00.000Z,2006,,,FT,200,EN SERVICE,5.775,7284
410527036,2003-01-01T00:00:00.000Z,2003,,,FT,100,EN SERVICE,8.803,8380
410527037,2006-01-01T00:00:00.000Z,2006,,,FT,200,EN SERVICE,3.883,7284
410527038,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,162.106,22259
410527352,1950-01-01T00:00:00.000Z,1950,,,FTG,80,EN SERVICE,39.124,27738
410527353,1991-01-01T00:00:00.000Z,1991,,,FT,100,EN SERVICE,5.971,12763
410527354,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,134.69,22259
410527355,1965-01-01T00:00:00.000Z,1965,,,FT,150,EN SERVICE,77.546,22259
410527356,1965-01-01T00:00:00.000Z,1965,,,FTG,250,EN SERVICE,64.179,22259
410527357,2009-01-01T00:00:00.000Z,2009,,,FT,100,EN SERVICE,3.185,6188
410527358,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,60.438,22259
410527359,1965-01-01T00:00:00.000Z,1965,,,FTG,250,EN SERVICE,57.724,22259
410527360,1965-01-01T00:00:00.000Z,1965,,,FTG,250,EN SERVICE,116.216,22259
410527361,2009-01-01T00:00:00.000Z,2009,,,FT,100,EN SERVICE,2.779,6188
410527362,1965-01-01T00:00:00.000Z,1965,,,FTG,125,EN SERVICE,3.683,22259
410527363,1965-01-01T00:00:00.000Z,1965,,,FT,100,EN SERVICE,57.036,22259
410527364,1965-01-01T00:00:00.000Z,1965,,,FTG,125,EN SERVICE,29.571,22259
410527365,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,3.288,22259
410527366,1965-01-01T00:00:00.000Z,1965,,,FTG,80,EN SERVICE,131.538,22259
410527367,1965-01-01T00:00:00.000Z,1965,,,FTG,125,EN SERVICE,46.55,22259
410527368,1965-01-01T00:00:00.000Z,1965,,,FTG,80,EN SERVICE,8.23,22259
410527369,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,5.844,22259
410527370,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,10.138,22259
410527371,1965-01-01T00:00:00.000Z,1965,,,FTG,250,EN SERVICE,4.502,22259
410526433,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,80.664,22259
410526434,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,32.835,22259
410526435,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,33.876,22259
