GID,materiau,age_at_freeze,diametre,longueur,y_true,y_pred,y_score,prediction_type
410858426,FT,123.8466803559206,80.0,1.746,0,0,0.1399586844925368,TN
410835654,FT,45.84804928131417,100.0,21.947,0,0,0.19397056019026201,TN
410858427,FT,123.8466803559206,80.0,16.801,0,0,0.018240807740595274,TN
410835817,FT,7.685147159479809,100.0,0.765,0,0,0.23629435937078713,TN
410835818,FT,52.84873374401095,100.0,29.725,0,1,0.845740539986255,FP
410946389,FT,13.22655715263518,100.0,1.236,0,0,0.23619196172527712,TN
410845643,FT,57.84804928131417,80.0,25.371,0,1,0.7666261644707862,FP
410858434,PVC,123.8466803559206,50.0,251.72,0,0,0.0030094592530739983,TN
410835834,FTVI,7.219712525667351,100.0,6.123,0,0,0.0017019825285658101,TN
410845658,FT,3.676933607118412,250.0,3.085,0,0,0.07511849107664628,TN
410840686,FT,3.8740588637919235,150.0,0.455,0,0,0.3519758224390057,TN
410946390,FT,13.22655715263518,150.0,0.276,0,1,0.7393428745078002,FP
410946405,FT,0.29021218343600275,150.0,6.193,0,0,0.005634855858520981,TN
410946407,FTG,53.84804928131417,100.0,1.458,0,1,0.5964765971667164,FP
410858436,PVC,123.8466803559206,50.0,35.345,0,0,0.0015660597409588963,TN
410843045,FTVI,5.426420260095825,150.0,5.155,0,0,0.0029769784964598944,TN
410843209,FT,5.0513347022587265,150.0,1.743,0,0,0.10410707116289981,TN
410843321,FT,5.6290212183436,100.0,11.964,0,0,0.012760412537879993,TN
410843322,FT,5.6290212183436,100.0,0.982,0,0,0.10931039128546903,TN
410843323,FT,5.6290212183436,300.0,24.945,0,0,0.01560995353568544,TN
410843324,FT,5.6290212183436,300.0,23.208,0,0,0.013891525147532583,TN
410843325,FTVI,5.6290212183436,300.0,29.59,0,0,0.0003314331303418093,TN
410843326,FTVI,5.6290212183436,300.0,10.192,0,0,0.0003391325855794996,TN
410843327,FT,5.618069815195072,200.0,9.883,0,0,0.011633701100118878,TN
410843328,FT,5.618069815195072,200.0,1.767,0,0,0.05988652023456631,TN
410843329,FT,5.618069815195072,200.0,2.681,0,0,0.0809843646724732,TN
410843330,FT,5.587953456536619,200.0,0.575,0,0,0.021311230088907816,TN
410843331,FT,5.587953456536619,200.0,1.451,0,0,0.03155567894368548,TN
410843332,FT,5.587953456536619,200.0,3.189,0,0,0.07909884021490937,TN
410843333,FT,5.587953456536619,200.0,1.149,0,0,0.030679055717431215,TN
410843334,FT,5.587953456536619,200.0,0.88,0,0,0.018944806458739038,TN
410843046,FT,5.426420260095825,150.0,18.369,0,0,0.0208812254431686,TN
