GID,materiau,age_at_freeze,diametre,longueur,y_proba
410959098,FTG,123.8466803559206,100.0,4.262,0.4776824970390111
410952445,FT,21.848049281314168,100.0,3.426,0.44572665640560993
410963754,FT,23.849418206707735,150.0,3.23,0.4754462498420947
410963755,FT,23.849418206707735,150.0,38.29,0.3229959103679677
410959480,FT,28.84873374401095,100.0,4.66,0.3569764171240867
410960966,PEHD,13.015742642026009,110.0,1.663,0.43461019077889307
410959259,FTG,48.84873374401095,60.0,24.785,0.3800509047615744
410947381,FT,14.847364818617386,250.0,1.274,0.12422143542554172
410944845,FT,52.84873374401095,60.0,107.438,0.14631676897633575
410959163,FT,30.847364818617386,80.0,7.401,0.2822880158205526
410960094,FT,12.848733744010952,100.0,3.903,0.3229723022763377
410960845,FT,60.84873374401095,200.0,64.911,0.2937832562335344
410960918,FT,10.932238193018481,200.0,1.077,0.26936743030766114
410960919,FT,10.932238193018481,200.0,2.275,0.49215248137672135
410962336,FT,13.848049281314168,100.0,17.636,0.02589763525070886
410960021,FT,15.849418206707734,200.0,2.557,0.3513659460804712
410963594,FT,2.926762491444216,100.0,2.612,0.4218059049665539
410950083,PEHD,1.0157426420260096,75.0,13.051,0.0011558189437011856
410952746,PVC,123.8466803559206,110.0,4.561,0.1302405057628761
410952751,FT,25.848049281314168,100.0,59.133,0.3422561951872769
410962042,FT,37.84804928131417,100.0,8.531,0.2978478030060164
410960615,FT,25.848049281314168,100.0,4.923,0.2298470041638284
410963829,FT,16.84873374401095,100.0,23.172,0.31343426946998454
410963833,FT,16.84873374401095,100.0,9.708,0.33711417861604054
410958623,FT,31.849418206707735,150.0,76.903,0.420587895975342
410963847,FT,53.84804928131417,150.0,100.76,0.2855618665736362
410933274,FTG,58.847364818617386,100.0,87.296,0.3219562295209921
410963993,FT,34.847364818617386,300.0,4.669,0.13194022361047755
410964272,FT,53.84804928131417,60.0,18.791,0.49596104027554927
410951591,FT,19.849418206707735,100.0,3.622,0.44572665640560993
410961047,FTG,123.8466803559206,100.0,9.047,0.3250681249038625
410956924,FTG,53.84804928131417,100.0,176.8,0.22490932260554913
410939118,FTTT,1.431895961670089,150.0,2.433,0.13212287985128393
410952585,FTG,63.84941820670773,100.0,67.081,0.4795574386770812
410964302,PEHD,15.849418206707734,90.0,10.702,0.4956693061537348
410964304,FTG,53.84804928131417,150.0,24.526,0.22035493376285298
410964305,FTG,53.84804928131417,150.0,10.304,0.34426851739232894
410964307,FTG,53.84804928131417,150.0,53.766,0.2132456503981573
410964308,FTG,53.84804928131417,150.0,10.11,0.34426851739232894
410968632,FT,36.84873374401095,150.0,53.332,0.3800825039500879
410952147,FT,8.903490759753593,100.0,6.438,0.3991396737828265
410961355,FT,30.847364818617386,150.0,9.245,0.27160063157632436
410961496,FT,43.84941820670773,80.0,5.444,0.4973366524015481
410965887,FTG,74.84736481861738,200.0,10.636,0.47767892318037647
410966916,FTG,74.84736481861738,250.0,4.455,0.3207201437700517
410964479,FT,9.848049281314168,150.0,54.087,0.051034673606633676
410964480,FT,9.848049281314168,150.0,1.217,0.28696768619366986
410965605,FT,20.84873374401095,100.0,9.948,0.29647526357768783
410965608,FT,19.849418206707735,100.0,32.0,0.22423560224965933
410965609,FT,19.849418206707735,100.0,32.0,0.22423560224965933
410965632,FT,48.84873374401095,100.0,8.779,0.3962789949433031
410968753,FT,24.84873374401095,100.0,8.576,0.14794687353504676
410967054,FT,4.9253935660506505,150.0,0.702,0.0736754364963632
410968300,FT,43.84941820670773,150.0,38.562,0.2812357648530018
410968401,FT,10.932238193018481,100.0,3.15,0.4823189175328117
410968402,FT,10.932238193018481,100.0,1.779,0.4419798130567604
410968405,FT,38.847364818617386,150.0,9.42,0.2635013847565047
410968409,FT,36.84873374401095,80.0,8.207,0.4497803470753899
410965028,FT,44.84873374401095,150.0,8.543,0.39145292381335567
410966254,POLY,52.84873374401095,50.0,67.265,0.4066033875241709
